,alexa,dga,accuracy,macro avg,weighted avg
precision,0.9617010113964266,0.9775473915795184,0.9694917765594904,0.9696242014879726,0.9696253754678348
recall,0.9779193835210432,0.9610666666666666,0.9694917765594904,0.9694930250938548,0.9694917765594904
f1-score,0.9697423915119986,0.9692369753925684,0.9694917765594904,0.9694896834522836,0.9694896460085052
support,33740.0,33750.0,0.9694917765594904,67490.0,67490.0
precision,0.9731921132154504,0.9643936947779376,0.9687509260631204,0.968792903996694,0.9687922521654272
recall,0.9640486069946652,0.9734518518518521,0.9687509260631204,0.9687502294232584,0.9687509260631204
f1-score,0.9685987820675074,0.9689016028429448,0.9687509260631204,0.9687501924552262,0.9687502148897184
support,33740.0,33750.0,0.9687509260631204,67490.0,67490.0
precision,0.9662809433133148,0.9773347324239244,0.9717439620684546,0.9718078378686196,0.9718086567891344
recall,0.9775933609958506,0.9658962962962964,0.9717439620684546,0.9717448286460736,0.9717439620684546
f1-score,0.97190423572744,0.9715818493405856,0.9717439620684546,0.9717430425340128,0.9717430186500012
support,33740.0,33750.0,0.9717439620684546,67490.0,67490.0
precision,0.9672160146230726,0.972208155848798,0.9696992146984741,0.9697120852359352,0.9697124550789658
recall,0.9723473621813872,0.9670518518518518,0.9696992146984741,0.9696996070166196,0.9696992146984741
f1-score,0.9697749006045021,0.9696231487945812,0.9696992146984741,0.9696990246995416,0.9696990134570012
support,33740.0,33750.0,0.9696992146984741,67490.0,67490.0
precision,0.9707037594873158,0.974099735347468,0.97239591050526,0.9724017474173918,0.972401999008432
recall,0.9741849436870184,0.9706074074074074,0.97239591050526,0.9723961755472128,0.97239591050526
f1-score,0.9724412360763894,0.9723504355956604,0.97239591050526,0.9723958358360252,0.9723958291090667
support,33740.0,33750.0,0.97239591050526,67490.0,67490.0
precision,0.9589017290815884,0.9808269878348452,0.9696103126389096,0.9698643584582168,0.9698659827921
recall,0.9812685240071132,0.9579555555555556,0.9696103126389096,0.9696120397813344,0.9696103126389096
f1-score,0.9699562013857354,0.9692563668250566,0.9696103126389096,0.969606284105396,0.9696062322581176
support,33740.0,33750.0,0.9696103126389096,67490.0,67490.0
precision,0.9680895028929036,0.9718867138692212,0.9699807378870944,0.9699881083810624,0.9699883896976259
recall,0.9719917012448132,0.9679703703703704,0.9699807378870944,0.9699810358075918,0.9699807378870944
f1-score,0.970036677709418,0.96992458880114,0.9699807378870944,0.9699806332552792,0.9699806249511668
support,33740.0,33750.0,0.9699807378870944,67490.0,67490.0
precision,0.9719829513278292,0.9667344353104098,0.9693436064602164,0.9693586933191196,0.96935830448255
recall,0.9665382335506816,0.9721481481481479,0.9693436064602164,0.9693431908494148,0.9693436064602164
f1-score,0.9692529461592192,0.9694337336938054,0.9693436064602164,0.9693433399265121,0.9693433533201656
support,33740.0,33750.0,0.9693436064602164,67490.0,67490.0
precision,0.9666323680729091,0.9743382924060464,0.9704544444279808,0.9704853302394778,0.970485958231948
recall,0.9745398500251934,0.9663703703703704,0.9704544444279808,0.970455110197782,0.9704544444279808
f1-score,0.9705700032470408,0.970337974532905,0.9704544444279808,0.9704539888899728,0.970453969980848
support,33739.0,33750.0,0.9704544444279808,67489.0,67489.0
precision,0.9671722357496993,0.9769175498473145,0.9719954362933219,0.9720448927985069,0.972045686990561
recall,0.9771481075313435,0.9668444444444444,0.9719954362933219,0.971996275987894,0.9719954362933219
f1-score,0.9721345796597175,0.9718548963545389,0.9719954362933219,0.9719947380071282,0.9719947152144037
support,33739.0,33750.0,0.9719954362933219,67489.0,67489.0
